價格景氣,가격경기
可逆變化,가역변화
可逆電池,가역전지
可融合金,가융합금
假電子,가전자
可聽範圍,가청범위
假現運動,가현운동
覺醒反應,각성반응
肝腦,간뇌
干涉屈折計,간섭굴절계
褐色火藥,갈색화약
感覺毛,감각모
感覺神經,감각신경
減衰機,감쇠기
減數分裂,감수분열
鑑識學,감식학
感熱紙,감열지
感炎熱,감염열
降交點,강교점
降雨遮斷,강우차단
强誘電體,강유전체
腔腸動物,강장동물
强振計,강진계
交流電壓計,교류전압계
南極氣團,남극기단
富營養化,부영양화
假想共同體,가상공동체
諒解覺書,양해각서
全社的 資源管理,전사적 자원관리
價値工學,가치공학
事務生産性 向上,사무생산성 향상
原價節減,원가절감
意識改革,의식개혁
綜合生産性革新,종합생산성혁신
經營科學,경영과학
相互背反性,상호배반성
肝硬化,간경화
境界性人格障碍,경계성 인격장애
宅地所有上限制,택지소유상한제
土地去來許可,토지거래 허가제
土地超過利得稅,토지초과이득세
限界企業,한계기업
限界稅率,한계세율
限界預貸率,한계예대율
限界支給準備率,한계지급준비율
監督職,감독직
降職,강직
經營權,경영권
經營參加,경영참가
高齡化社會,고령화 사회
雇傭,고용
雇傭者,고용자
雇傭者所得,고용자소득
雇傭調整,고용조정
過勞死,과로사
管理職,관리직
管理職 任期制,관리직 임기제
管理職停年制,관리직정년제
交替勤務制,교체근무제
企業內福祉,기업내복지
勞動條件,노동조건
能力給,능력급
能力主義,능력주의
多面評價,다면평가
同一勞動 同一賃金의 原則,동일노동 동일임금의 원칙
復職,복직
昇級・昇進,승급・승진
市場賃金,시장임금
市場賃金,시장임금
失業率,실업률
實質賃金,실질임금
人事管理,인사관리
人事權,인사권
在宅勤務,재택근무
終身雇傭,종신고용
職務,직무
職務分析,직무분석
職務忠實,직무충실
最低生計費,최저생계비
最低賃金,최저임금
退職金,퇴직금
假說檢證,가설검증
感受性 訓練,감수성 훈련
感覺主義,감각주의
開放學校,개방학교
開放敎育課程,개방교육과정
個別化 授業,개별화 수업
經驗論,경험론
經驗中心 敎育課程,경험중심 교육과정
繼續性의 原理,계속성의 원리
公敎育費,공교육비
觀念論,관념론
敎授管理,교수관리
敎授設計,교수설계
東道西器論,동도서기론
斷髮令,단발령
奴婢按檢法,노비안검법
牧民心書,목민심서
渤海,발해
物産獎勵運動,물산장려운동
四捨五入改憲,사사오입개헌
斯文亂賊,사문난적
司諫院,사간원
北伐論,북벌론
書堂,서당
三國遺事,삼국유사
三國史記,삼국사기
成均館,성균관
西遊見聞,서유견문
是日也放聲大哭,시일야방성대곡
閭田論,여전론
五家作統法,오가작통법
壬辰倭亂,임진왜란
議政府,의정부
義禁府,의금부
乙巳條約,을사조약
濟州道 四三事件,제주도4·3사건
鄭鑑錄,정감록
朝鮮總督府,조선총독부
朝鮮上古史,조선상고사
斥和碑,척화비
蕩平論,탕평론
淸海鎭,청해진
韓日議定書,한일의정서
韓人愛國團,한인애국단
八萬大藏經,팔만대장경
洪範十四條,홍범십사조
號牌法,호패법
訓民正音,훈민정음
競爭入札,경쟁입찰
景氣動向指數,경기동향지수(DI)
經濟的 附加價値,경제적 부가가치
固定評價,고정평가
公開市場操作,공개시장조작
公的對外準備資産,공적대외준비자산
管理通貨制度,관리통화제도
國家危險度,국가위험도
國際收支,국제수지
國際流動性,국제유동성
國際通貨基金,국제통화기금(IMF)
金本位制度,금본위제도
金融先物去來,금융선물거래
基金型 投資信託,기금형 투자신탁
技術的 分析,기술적 분석
基準換率,기준환율
基礎收支,기초수지
基幹産業,기간산업
期待接近,기대접근
企業引受合倂,기업인수합병
基準率,기준율
耐久消費財,내구소비재
綠色商品,녹색상품
農産物價格支持制度,농산물가격지지제도
代替商品,대체상품
都賣物流業,도매물류업
黙示擔保,묵시담보
背書,배서
配送,배송
報復關稅,보복관세
保險價額,보험가액
不渡,부도
産地都買,산지도매
商品回轉率,상품회전율
損益計算書,손익계산서
損益分岐點,손익분기점
需要彈力性,수요탄력성
輸出免狀,수출면장
潛在瑕疵,잠재하자
赤色製品,적색제품
中繼貿易,중계무역
假登記,가등기
假釋放,가석방
假押留,가압류
却下,각하
簡易引渡,간이인도
間接審理主義,간접심리주의
間接正犯,간접정범
間接證據,간접증거
監事,감사
監視權,감시권
强迫,강박
强要罪,강요죄
强制保險,강제보험
强制分家,강제분가
强制執行免脫罪,강제집행면탈죄
强制執行請求權,강제집행청구권
强制投票,강제투표
强制和議,강제화의
强行法(强行規定),강행법(강행규정)
槪括的 故意,개괄적 고의
個人訴權主義,개인소권주의
客觀的 處罰條件,객관적 처벌조건
檢事,검사
檢證,검증
警察,경찰
競合犯,경합범
契約,계약
戒嚴,계엄
故殺,고살
告訴,고소
遺棄의 罪,유기의 죄
間接戰略,간접전략
國家戰略,국가전략
國防,국방
軍費競爭,군비경쟁
軍事敎理,군사교리
軍需,군수
多變軍,다변군
民防衛,민방위
文化 遺産의 保護,문화유산의 보호
心理戰爭,심리전쟁
相互抑制,상호억제
人道主義的 國際法,인도주의적 국제법
電子戰,전자전
家父長制,가부장제
黑白論理,흑백논리
人民,인민
公民,공민
大衆,대중
民衆,민중
國民年金法,국민연금법
多元的 無知,다원적 무지
社會指標,사회지표
家計信用,가계신용
可變車路制,가변차로제
金融實名制,금융실명제
金融專業家,금융전업가
企待壽命,기대수명
企業支配構造,기업지배구조
氣候經濟學,기후경제학
代表訴訟制,대표소송제
道德 指數,도덕 지수(MQ)
民營住宅,민영주택
國民住宅,국민주택
白騎士,백기사
黑騎士,흑기사
不實與信,부실여신
上場企業,상장기업
上場株式,상장주식
新 部族主義,신 부족주의
推定價格,추정가격
工程率,공정율
工程表,공정표
鑑定評價,감정평가
開發負擔金,개발부담금
開發制限區域,개발제한구역
競爭過熱地域,경쟁과열지역
共同住宅,공동주택
公示地價,공시지가
多世帶住宅,다세대주택
改築,개축
聯立住宅,연립주택
延面積,연면적
一般住居地域,일반주거지역
一般商業地域,일반상업지역
一般工業地域,일반공업지역
日照權,일조권
傳貰權,전세권
準工業地域,준공업지역
準住居地域,준주거지역
骨多孔症,골다공증
壞死,괴사
白內障,백내장
